Rings,Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight
7,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
9,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21
10,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155
8,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
20,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
16,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
9,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165
19,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
14,F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21
11,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19
10,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205
10,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
7,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
10,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13
9,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115
11,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
10,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
12,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27
9,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2
11,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3
11,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285
12,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28
15,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295
11,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2
10,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33
15,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46
18,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
19,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
13,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
16,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34
8,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145
11,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26
9,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
9,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
14,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
5,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
5,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
9,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14
7,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15
9,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245
8,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19
7,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
10,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16
10,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
7,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11
8,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22
8,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
8,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17
7,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175
9,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175
7,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1
8,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185
8,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135
13,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485
10,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
6,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
13,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275
8,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1
11,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38
13,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
15,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
9,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315
10,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305
11,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285
14,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345
9,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285
12,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675
16,F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
21,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58
14,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36
13,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4
10,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
12,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
15,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255
12,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26
13,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39
10,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39
14,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48
9,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25
8,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145
7,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165
10,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155
15,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255
15,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335
10,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205
12,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345
12,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235
11,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28
10,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22
9,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2
9,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13
9,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175
9,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105
9,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165
11,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21
11,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22
10,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165
8,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085
9,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14
14,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255
6,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07
6,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07
5,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03
6,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07
8,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08
19,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54
18,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78
17,M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41
9,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129
7,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062
7,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068
8,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
7,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048
9,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063
9,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117
9,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
10,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475
10,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665
16,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465
11,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425
10,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17
10,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174
10,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565
9,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042
4,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01
15,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325
10,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45
10,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355
12,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31
10,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21
13,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34
16,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635
13,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285
13,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28
12,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345
18,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005
16,F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815
20,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85
20,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65
14,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76
7,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255
8,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285
8,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22
5,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015
5,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035
4,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015
14,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295
21,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57
10,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
10,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325
13,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355
13,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325
12,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245
10,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285
9,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19
1,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015
3,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005
5,I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03
8,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095
14,M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3
6,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055
8,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245
12,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245
9,F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185
11,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41
13,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36
6,M,0.31,0.22,0.085,0.146,0.061,0.0365,0.045
14,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185
11,F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35
10,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26
12,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515
15,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655
14,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215
6,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245
13,M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293
14,M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47
13,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195
9,F,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845
7,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745
6,M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091
9,M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385
10,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985
9,M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39
4,I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345
7,I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175
9,F,0.575,0.46,0.16,1.103,0.538,0.221,0.249
10,F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365
11,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395
10,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435
7,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141
8,I,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167
9,I,0.535,0.39,0.125,0.599,0.2595,0.149,0.169
10,M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42
11,F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586
4,I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215
6,I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058
5,I,0.375,0.29,0.095,0.213,0.096,0.041,0.061
7,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735
8,I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11
7,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11
8,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15
9,F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075
9,F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655
10,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22
10,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25
10,M,0.61,0.46,0.16,1.0,0.494,0.197,0.275
12,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355
9,F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345
14,F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975
7,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605
8,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855
6,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11
9,M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215
13,M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015
6,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405
7,I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066
7,I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07
